;Europe * France;Europe * France
2010-08-01;111,55212;111,55212
2010-09-01;110,779378;110,779378
2010-10-01;114,2639;114,2639
2010-11-01;109,82135;109,82135
2010-12-01;112,718416;112,718416
2011-01-01;112,115159;112,115159
2011-02-01;100,371773;100,371773
2011-03-01;112,671017;112,671017
2011-04-01;109,987963;109,987963
2011-05-01;112,583401;112,583401
2011-06-01;106,489448;106,489448
2011-07-01;107,398271;107,398271
2011-08-01;109,656172;109,656172
2011-09-01;107,408325;107,408325
2011-10-01;106,071107;106,071107
2011-11-01;102,010619;102,010619
2011-12-01;102,162869;102,162869
2012-01-01;94,813198;94,813198
2012-02-01;91,753827;91,753827
2012-03-01;102,217449;102,217449
2012-04-01;100,242503;100,242503
2012-05-01;101,153133;101,153133
2012-06-01;95,993856;95,993856
2012-07-01;96,878632;96,878632
2012-08-01;98,712818;98,712818
2012-09-01;94,25734;94,25734
2012-10-01;96,138925;96,138925
2012-11-01;94,087854;94,087854
2012-12-01;95,341765;95,341765
2013-01-01;88,482806;88,482806
2013-02-01;86,489696;86,489696
2013-03-01;96,275968;96,275968
2013-04-01;91,426342;91,426342
2013-05-01;94,671327;94,671327
2013-06-01;93,417481;93,417481
2013-07-01;100,997176;100,997176
2013-08-01;105,861713;105,861713
2013-09-01;96,490075;96,490075
2013-10-01;94,87352;94,87352
2013-11-01;91,192568;91,192568
2013-12-01;94,692844;94,692844
2014-01-01;91,751955;91,751955
2014-02-01;82,286602;82,286602
2014-03-01;92,827989;92,827989
2014-04-01;90,828025;90,828025
2014-05-01;94,490038;94,490038
2014-06-01;88,94581;88,94581
2014-07-01;95,284308;95,284308
2014-08-01;93,62679;93,62679
2014-09-01;92,370007;92,370007
2014-10-01;95,269945;95,269945
2014-11-01;89,875112;89,875112
2014-12-01;93,346707;93,346707
2015-01-01;92,950282;92,950282
2015-02-01;87,878621;87,878621
2015-03-01;100,578599;100,578599
2015-04-01;99,540137;99,540137
2015-05-01;106,601106;106,601106
2015-06-01;102,440075;102,440075
2015-07-01;105,839855;105,839855
2015-08-01;100,995133;100,995133
2015-09-01;96,554019;96,554019
2015-10-01;101,895709;101,895709
2015-11-01;101,449012;101,449012
2015-12-01;103,277452;103,277452
2016-01-01;100,615944;100,615944
2016-02-01;97,700206;97,700206
2016-03-01;102,498965;102,498965
2016-04-01;101,546682;101,546682
2016-05-01;100,282716;100,282716
2016-06-01;95,867456;95,867456
2016-07-01;99,955235;99,955235
2016-08-01;98,340548;98,340548
2016-09-01;92,469283;92,469283
2016-10-01;96,655998;96,655998
2016-11-01;91,043162;91,043162
2016-12-01;94,769959;94,769959
2017-01-01;91,072111;91,072111
2017-02-01;80,363535;80,363535
2017-03-01;91,467586;91,467586
2017-04-01;92,995534;92,995534
2017-05-01;94,935264;94,935264
2017-06-01;89,091877;89,091877
2017-07-01;91,131678;91,131678
2017-08-01;90,541605;90,541605
2017-09-01;90,214508;90,214508
2017-10-01;92,787451;92,787451
2017-11-01;91,131881;91,131881
2017-12-01;92,571902;92,571902
2018-01-01;90,278821;90,278821
2018-02-01;83,215638;83,215638
2018-03-01;96,042571;96,042571
2018-04-01;94,156734;94,156734
2018-05-01;93,812076;93,812076
2018-06-01;93,580828;93,580828
2018-07-01;94,727015;94,727015
2018-08-01;94,281754;94,281754
2018-09-01;91,638918;91,638918
2018-10-01;96,28399;96,28399
2018-11-01;90,597583;90,597583
2018-12-01;92,660144;92,660144
2019-01-01;92,831097;92,831097
2019-02-01;85,683017;85,683017
2019-03-01;92,752155;92,752155
2019-04-01;89,348391;89,348391
2019-05-01;72,26024;72,26024
2019-06-01;73,661816;73,661816
2019-07-01;83,16495;83,16495
2019-08-01;90,766718;90,766718
2019-09-01;89,025138;89,025138
2019-10-01;94,910821;94,910821
2019-11-01;88,630925;88,630925
2019-12-01;87,818439;87,818439
2020-01-01;87,499848;87,499848
2020-02-01;84,571384;84,571384
2020-03-01;85,933896;85,933896
2020-04-01;55,901305;55,901305
2020-05-01;49,534684;49,534684
2020-06-01;73,811693;73,811693
2020-07-01;81,405596;81,405596
2020-08-01;84,778143;84,778143
2020-09-01;82,819902;82,819902
2020-10-01;85,712185;85,712185
2020-11-01;79,902182;79,902182
2020-12-01;81,273842;81,273842
2021-01-01;83,177259;83,177259
2021-02-01;74,224679;74,224679
2021-03-01;81,225797;81,225797
2021-04-01;79,561256;79,561256
2021-05-01;81,848659;81,848659
2021-06-01;78,960958;78,960958
2021-07-01;79,118437;79,118437
2021-08-01;80,386453;80,386453
2021-09-01;76,981129;76,981129
