;Europe * France;Europe * France
2014-06-01;0,988699;0,983675
2014-07-01;1,006322;1,013811
2014-08-01;1,00178;0,991713
2014-09-01;1,00248;1,006155
2014-10-01;1,014407;1,003185
2014-11-01;0,991285;0,989848
2014-12-01;0,986985;0,994347
2015-01-01;0,993335;0,996858
2015-02-01;1,004946;0,995399
2015-03-01;1,002627;1,005143
2015-04-01;0,990217;0,997338
2015-05-01;1,019828;1,014827
2015-06-01;1,012494;1,006193
2015-07-01;1,005539;1,01552
2015-08-01;0,983717;0,987627
2015-09-01;0,966217;0,983304
2015-10-01;0,986529;0,992347
2015-11-01;1,016906;1,015347
2015-12-01;1,00072;0,999
2016-01-01;0,997709;0,988063
2016-02-01;1,011337;1,030627
2016-03-01;0,994246;0,985816
2016-04-01;1,011091;1,016771
2016-05-01;0,985674;0,988826
2016-06-01;0,992239;0,993492
2016-07-01;1,008121;1,00856
2016-08-01;1,010206;1,003904
2016-09-01;0,982965;0,987295
2016-10-01;1,005063;1,004615
2016-11-01;0,991451;0,992676
2016-12-01;1,013141;1,011634
2017-01-01;1,006688;1,007264
2017-02-01;0,966525;0,972337
2017-03-01;0,990266;0,993803
2017-04-01;1,037645;1,020391
2017-05-01;1,023777;1,008809
2017-06-01;0,99832;0,995047
2017-07-01;0,990656;0,994896
2017-08-01;0,989031;0,987882
2017-09-01;1,005201;1,007786
2017-10-01;0,995586;0,992245
2017-11-01;1,015561;1,011251
2017-12-01;1,006258;0,999456
2018-01-01;0,98406;0,99671
2018-02-01;0,982958;0,984864
2018-03-01;1,01642;1,013878
2018-04-01;1,019566;1,014081
2018-05-01;0,982522;0,981112
2018-06-01;1,006772;1,015153
2018-07-01;0,999573;0,996781
2018-08-01;0,99265;0,995181
2018-09-01;1,001691;0,996605
2018-10-01;1,00302;1,009258
2018-11-01;0,991099;0,995271
2018-12-01;0,996566;0,991707
2019-01-01;1,007815;1,009227
2019-02-01;1,014397;1,007353
2019-03-01;1,003283;0,997032
2019-04-01;0,985535;0,990913
2019-05-01;0,773803;0,776123
2019-06-01;0,80923;0,816893
2019-07-01;0,873808;0,875796
2019-08-01;0,935646;0,934099
2019-09-01;0,947393;0,938802
2019-10-01;0,97636;0,97369
2019-11-01;0,971651;0,97136
2019-12-01;0,965301;0,95862
2020-01-01;0,976606;0,978494
2020-02-01;1,005525;1,025843
2020-03-01;0,967036;0,960542
2020-04-01;0,640992;0,641466
2020-05-01;0,543458;0,539571
2020-06-01;0,81632;0,818664
2020-07-01;0,880568;0,867956
2020-08-01;0,910173;0,90863
2020-09-01;0,930046;0,932087
2020-10-01;0,942689;0,954556
2020-11-01;0,95351;0,954572
2020-12-01;0,967775;0,958724
2021-01-01;1,003548;1,005325
2021-02-01;0,982315;0,980711
2021-03-01;0,984873;0,985489
2021-04-01;1,000104;0,99566
2021-05-01;1,003338;0,995987
2021-06-01;1,001566;1,00534
2021-07-01;0,986406;0,984647
2021-08-01;0,997298;1,004025
2021-09-01;0,993608;0,996274
