;Europe * France;Europe * France
2017-11-01;91,216508;91,131881
2017-12-01;92,880259;92,571902
2018-01-01;89,96652;90,278821
2018-02-01;83,958635;83,215638
2018-03-01;95,772946;96,042571
2018-04-01;94,346966;94,156734
2018-05-01;93,899623;93,812076
2018-06-01;93,305066;93,580828
2018-07-01;94,918836;94,727015
2018-08-01;94,155026;94,281754
2018-09-01;92,153415;91,638918
2018-10-01;95,950915;96,28399
2018-11-01;90,404508;90,597583
2018-12-01;92,784433;92,660144
2019-01-01;92,917729;92,831097
2019-02-01;86,448044;85,683017
2019-03-01;93,061112;92,752155
2019-04-01;88,969142;89,348391
2019-05-01;72,163113;72,26024
2019-06-01;74,075382;73,661816
2019-07-01;82,877258;83,16495
2019-08-01;90,511905;90,766718
2019-09-01;89,205003;89,025138
2019-10-01;94,999394;94,910821
2019-11-01;88,369749;88,630925
2019-12-01;87,99627;87,818439
2020-01-01;87,382236;87,499848
2020-02-01;82,328364;84,571384
2020-03-01;86,107911;85,933896
2020-04-01;55,953216;55,901305
2020-05-01;49,699683;49,534684
2020-06-01;73,498391;73,811693
2020-07-01;81,296176;81,405596
2020-08-01;84,89186;84,778143
2020-09-01;82,8856;82,819902
2020-10-01;85,471561;85,712185
2020-11-01;80,063615;79,902182
2020-12-01;81,349689;81,273842
2021-01-01;83,454322;83,177259
2021-02-01;74,8874;74,224679
2021-03-01;80,944813;81,225797
2021-04-01;79,391701;79,561256
2021-05-01;81,958447;81,848659
2021-06-01;79,023595;78,960958
2021-07-01;78,896324;79,118437
2021-08-01;80,549234;80,386453
2021-09-01;77,052615;76,981129
