date;name;value;type
2024-02-05;stl_stats;1736.56583945902;t
2024-02-05;x11;1755.46566138392;t
2024-02-06;rjdverse;1756.24877077098;t
2024-02-06;prophet;1783.93640317939;t
2024-02-06;tbats;1790.55732266986;t
2024-02-06;mstl;1739.40553985213;t
2024-02-06;stl;1739.40553985213;t
2024-02-06;stl_stats;1736.65024525721;t
2024-02-06;x11;1755.32505217557;t
2024-02-07;rjdverse;1756.18700155045;t
2024-02-07;prophet;1783.83711451451;t
2024-02-07;tbats;1795.93002239492;t
2024-02-07;mstl;1739.28648868925;t
2024-02-07;stl;1739.28648868925;t
2024-02-07;stl_stats;1736.16311355029;t
2024-02-07;x11;1755.17759435335;t
2024-02-08;rjdverse;1756.11397558675;t
2024-02-08;prophet;1783.73782584962;t
2024-02-08;tbats;1808.18653938782;t
2024-02-08;mstl;1739.16743752637;t
2024-02-08;stl;1739.16743752637;t
2024-02-08;stl_stats;1735.91850851857;t
2024-02-08;x11;1755.02331101036;t
2024-02-09;rjdverse;1756.03215302693;t
2024-02-09;prophet;1783.63853718474;t
2024-02-09;tbats;1827.28935656885;t
2024-02-09;mstl;1739.04838636349;t
2024-02-09;stl;1739.04838636349;t
2024-02-09;stl_stats;1735.46071268552;t
2024-02-09;x11;1754.86223162682;t
2024-02-10;rjdverse;1755.94168254067;t
2024-02-10;prophet;1783.53924851985;t
2024-02-10;tbats;1843.33066368438;t
2024-02-10;mstl;1738.92933520062;t
2024-02-10;stl;1738.92933520062;t
2024-02-10;stl_stats;1735.35651163313;t
2024-02-10;x11;1754.69438866483;t
2024-02-11;rjdverse;1755.83975830311;t
2024-02-11;prophet;1783.43995985497;t
2024-02-11;tbats;1909.58522976288;t
2024-02-11;mstl;1738.81028403774;t
2024-02-11;stl;1738.81028403774;t
2024-02-11;stl_stats;1735.43550471496;t
2024-02-11;x11;1754.51981943744;t
2024-02-12;rjdverse;1755.72755453288;t
2024-02-12;prophet;1783.34067119008;t
2024-02-12;tbats;1775.62754444381;t
2024-02-12;mstl;1738.69123287486;t
2024-02-12;stl;1738.69123287486;t
2024-02-12;stl_stats;1734.88912713025;t
2024-02-12;x11;1754.33856366429;t
2024-02-13;rjdverse;1755.61762551587;t
2024-02-13;prophet;1783.2413825252;t
2024-02-13;tbats;1669.95014901874;t
2024-02-13;mstl;1738.52615235951;t
2024-02-13;stl;1738.52615235951;t
2024-02-13;stl_stats;1735.00093018871;t
2024-02-13;x11;1754.15066328508;t
2024-02-14;rjdverse;1755.51806281975;t
2024-02-14;prophet;1783.14209386032;t
2024-02-14;tbats;1722.87091602236;t
2024-02-14;mstl;1738.36107184416;t
2024-02-14;stl;1738.36107184416;t
2024-02-14;stl_stats;1735.4554753158;t
2024-02-14;x11;1753.95616555092;t
2024-02-15;rjdverse;1755.42440747463;t
2024-02-15;prophet;1783.04280519543;t
2024-02-15;tbats;1728.23608789762;t
2024-02-15;mstl;1738.19599132881;t
2024-02-15;stl;1738.19599132881;t
2024-02-15;stl_stats;1735.41987838159;t
2024-02-15;x11;1753.75512075052;t
2024-02-16;rjdverse;1755.33312181164;t
2024-02-16;prophet;1782.94351653055;t
2024-02-16;tbats;1770.02829967485;t
2024-02-16;mstl;1738.03091081345;t
2024-02-16;stl;1738.03091081345;t
2024-02-16;stl_stats;1734.91002775401;t
2024-02-16;x11;1753.54758064159;t
2024-02-17;rjdverse;1755.2425657146;t
2024-02-17;prophet;1782.84422786566;t
2024-02-17;tbats;1772.67412183373;t
2024-02-17;mstl;1737.8658302981;t
2024-02-17;stl;1737.8658302981;t
2024-02-17;stl_stats;1734.6633609482;t
2024-02-17;x11;1753.33360041288;t
2024-02-18;rjdverse;1755.14951230795;t
2024-02-18;prophet;1782.74493920078;t
2024-02-18;tbats;1855.59532789316;t
2024-02-18;mstl;1737.70074978275;t
2024-02-18;stl;1737.70074978275;t
2024-02-18;stl_stats;1734.79714855058;t
2024-02-18;x11;1753.11323882981;t
2024-02-19;rjdverse;1755.05231801252;t
2024-02-19;prophet;1782.64565053589;t
2024-02-19;tbats;1754.10514693695;t
2024-02-19;mstl;1737.5356692674;t
2024-02-19;stl;1737.5356692674;t
