;Asia * China;Asia * Japon;Asia * India
2012-12-01;-20,215225;-33,591419;-20,677824
2013-01-01;-9,11042;4,213547;8,59396
2013-02-01;-9,636512;-2,419882;3,216714
2013-03-01;-2,122439;10,764524;9,351106
2013-04-01;-2,723121;13,067371;6,624127
2013-05-01;-7,908975;-0,000293;-1,717171
2013-06-01;14,304104;15,032111;7,232229
2013-07-01;13,497954;15,0761;3,189532
2013-08-01;9,469321;-55,652325;-31,31952
2013-09-01;21,347748;14,814062;6,312783
2013-10-01;5,324995;15,636127;8,755743
2013-11-01;-10,447392;1,764292;0,491972
2013-12-01;-21,773017;-29,956672;-20,479306
2014-01-01;-9,048679;3,409343;8,862014
2014-02-01;-9,662027;-2,130673;3,282605
2014-03-01;-2,43559;8,650292;9,193942
2014-04-01;-3,569675;11,843003;6,541966
2014-05-01;-8,725911;0,771351;-1,765004
2014-06-01;14,546217;14,439863;7,257243
2014-07-01;13,800028;15,128696;1,409837
2014-08-01;10,520197;-52,897365;-31,03794
2014-09-01;23,369738;13,36116;6,856801
2014-10-01;5,805722;14,764898;8,982007
2014-11-01;-11,005471;1,101003;1,127759
2014-12-01;-24,33141;-26,741343;-19,545643
2015-01-01;-9,562027;3,411236;8,557798
2015-02-01;-8,947597;-2,549842;3,10706
2015-03-01;-1,831179;7,940445;9,088914
2015-04-01;-3,905046;10,001745;5,789363
2015-05-01;-8,830686;1,654969;-1,736112
2015-06-01;15,368245;13,749026;7,841894
2015-07-01;12,640157;14,822145;-0,958467
2015-08-01;10,664769;-49,390214;-29,956496
2015-09-01;24,652376;11,501828;7,278314
2015-10-01;6,017988;13,639099;9,012024
2015-11-01;-10,853694;0,73546;1,738059
2015-12-01;-26,089804;-25,325921;-18,638279
2016-01-01;-10,329256;4,003229;8,401988
2016-02-01;-8,474904;-2,872279;2,460695
2016-03-01;-0,662853;8,816367;9,408055
2016-04-01;-3,759856;7,695541;4,93131
2016-05-01;-8,366315;2,601309;-1,371679
2016-06-01;16,32797;12,92357;8,435274
2016-07-01;10,797042;14,116839;-3,756923
2016-08-01;10,407601;-45,707168;-28,533689
2016-09-01;24,823612;10,495121;7,142399
2016-10-01;5,933216;12,450069;9,058732
2016-11-01;-10,750101;0,253266;2,665814
2016-12-01;-27,759387;-25,336562;-17,828326
2017-01-01;-10,345826;4,799253;8,559347
2017-02-01;-7,201903;-3,497105;2,024041
2017-03-01;0,669774;9,918056;9,243966
2017-04-01;-2,961923;5,534448;3,863347
2017-05-01;-7,339247;3,200523;-1,073757
2017-06-01;16,599147;12,740385;8,81961
2017-07-01;8,392622;14,947956;-5,815397
2017-08-01;8,913608;-42,688587;-26,198786
2017-09-01;23,601548;9,62255;6,770424
2017-10-01;6,659324;11,711211;8,88358
2017-11-01;-10,444206;-0,779316;2,608252
2017-12-01;-28,104261;-26,250199;-17,926432
2018-01-01;-9,811365;4,481958;9,318505
2018-02-01;-6,522863;-4,071188;1,843984
2018-03-01;1,707842;11,063518;9,024632
2018-04-01;-1,776516;4,332183;3,778183
2018-05-01;-5,833142;3,705342;-0,678599
2018-06-01;15,930457;13,28584;8,538641
2018-07-01;6,80998;16,366825;-7,400559
2018-08-01;6,944765;-40,678178;-24,065792
2018-09-01;21,721202;9,272868;5,957148
2018-10-01;7,393816;11,512796;9,111912
2018-11-01;-10,368022;-2,332669;2,310389
2018-12-01;-27,875209;-27,575905;-18,275444
2019-01-01;-8,67581;3,096782;10,133518
2019-02-01;-5,789086;-4,035131;2,124802
2019-03-01;2,440209;11,637014;8,480454
2019-04-01;-0,617779;4,175831;3,978742
2019-05-01;-4,915212;3,718424;-0,918707
2019-06-01;14,7862;14,145952;7,911167
2019-07-01;6,23169;18,408931;-7,685561
2019-08-01;4,583256;-39,613234;-22,135257
2019-09-01;20,160744;9,501925;5,417079
2019-10-01;8,249361;11,562475;9,298773
2019-11-01;-10,593226;-4,210361;1,381107
2019-12-01;-26,696159;-28,610995;-19,079992
2020-01-01;-7,923932;0,932256;11,092122
2020-02-01;-5,509145;-3,919359;2,656032
2020-03-01;3,034146;12,318168;8,056328
2020-04-01;0,174139;4,590024;4,57516
2020-05-01;-4,418922;3,293658;-1,376964
2020-06-01;13,556262;15,512066;7,199553
2020-07-01;6,501135;20,005626;-7,630495
2020-08-01;2,778926;-39,166947;-20,81211
2020-09-01;19,366692;10,157155;4,847197
2020-10-01;8,531316;11,329089;9,426714
2020-11-01;-10,804646;-5,91466;0,826591
2020-12-01;-25,906286;-29,171738;-19,491338
2021-01-01;-7,259645;-1,202449;11,415778
2021-02-01;-5,178762;-3,450096;3,178247
2021-03-01;3,233262;12,790692;7,791743
2021-04-01;0,504978;5,085112;4,954349
2021-05-01;-4,393603;2,937545;-1,788576
2021-06-01;12,809512;16,430584;6,788284
2021-07-01;6,805039;21,08355;-7,168694
2021-08-01;1,824801;-38,845931;-20,102737
2021-09-01;19,189322;10,724931;4,649673
