;Asia * China;Asia * Japon;Asia * India
2004-09-01;3,210711;-0,343122;-2,472145
2004-10-01;-2,590841;-7,403585;1,581879
2004-11-01;-5,209172;-0,333388;2,523949
2004-12-01;2,359997;10,019177;2,718211
2005-01-01;1,514556;4,124375;1,536307
2005-02-01;-0,755279;-4,442323;-3,556376
2005-03-01;1,090136;-18,745133;-6,256688
2005-04-01;-0,450686;-4,774845;-0,429035
2005-05-01;2,281057;1,915591;3,247474
2005-06-01;-0,704573;3,848502;2,499416
2005-07-01;-1,744252;-5,334226;-2,133905
2005-08-01;-1,004694;2,652443;0,017119
2005-09-01;1,935148;6,91678;4,059633
2005-10-01;-3,906131;-8,868227;-4,29124
2005-11-01;2,556421;3,701956;-1,738474
2005-12-01;0,660659;4,131189;2,191798
2006-01-01;0,840741;-2,68298;10,580687
2006-02-01;-2,757702;-2,499031;-2,158146
2006-03-01;2,541149;3,725631;2,887171
2006-04-01;-8,906237;-17,384421;-8,228436
2006-05-01;2,102916;4,079901;1,421346
2006-06-01;1,336865;-1,121146;-2,165611
2006-07-01;0,092909;-4,381485;-13,723465
2006-08-01;0,602904;-1,068486;3,608436
2006-09-01;-2,20595;0,122462;2,263869
2006-10-01;5,597469;1,173812;-0,517493
2006-11-01;0,908181;4,548044;-2,468993
2006-12-01;-6,221926;-13,825711;-11,836713
2007-01-01;2,500565;2,066563;2,310199
2007-02-01;-0,690231;6,183737;-1,234896
2007-03-01;2,714322;4,133959;1,48139
2007-04-01;-8,616808;-3,758874;2,037702
2007-05-01;3,989923;2,966731;-1,791196
2007-06-01;3,164775;-6,062661;-0,597312
2007-07-01;-1,411814;2,126676;-2,506668
2007-08-01;-2,541296;-0,892642;-0,556715
2007-09-01;-7,571;-15,812325;-9,013722
2007-10-01;12,183208;4,328661;2,36947
2007-11-01;2,213644;0,889153;4,969636
2007-12-01;-11,256102;-13,675236;-11,33674
2008-01-01;4,234908;11,183594;0,579871
2008-02-01;5,643134;5,369634;4,736992
2008-03-01;-9,989844;-11,730732;-17,490214
2008-04-01;3,583754;3,267789;1,299516
2008-05-01;-5,073019;-7,445271;-0,109573
2008-06-01;-0,408822;8,065328;0,969073
2008-07-01;12,979242;16,156625;3,133474
2008-08-01;-0,455581;-3,801519;-4,157081
2008-09-01;-1,152163;-0,628975;-1,896268
2008-10-01;3,887696;6,351245;0,028827
2008-11-01;-7,674572;-9,052385;2,105213
2008-12-01;7,037838;6,965843;-2,911898
2009-01-01;-9,875199;-8,472158;-4,356018
2009-02-01;-1,155369;-3,293269;-18,449779
2009-03-01;0,627714;-4,258312;-23,851113
2009-04-01;3,085465;6,917279;-10,251833
2009-05-01;-2,276683;0,057329;-6,409788
2009-06-01;2,113612;-1,683529;-4,538437
2009-07-01;2,620015;0,546462;3,21775
2009-08-01;-0,602047;-2,08405;-4,053828
2009-09-01;8,011886;3,688247;-1,364571
2009-10-01;-5,630458;1,579535;2,278525
2009-11-01;2,858041;3,779656;-3,177195
2009-12-01;-0,872653;1,445904;2,618657
2010-01-01;-5,850145;-20,274006;-5,270633
2010-02-01;-0,198893;-10,703502;-3,639079
2010-03-01;-0,650499;5,175769;2,244649
2010-04-01;-0,07213;0,107501;-0,912026
2010-05-01;2,442763;3,321252;-1,060021
2010-06-01;-0,048606;5,194913;3,123606
2010-07-01;1,956121;-1,032047;-3,153431
2010-08-01;-1,584551;3,813812;2,087746
2010-09-01;-1,195769;-1,186379;2,651069
2010-10-01;-3,895008;-11,538713;-4,811143
2010-11-01;4,888512;-0,290518;-1,14391
2010-12-01;3,049998;-8,986947;2,977577
2011-01-01;-1,178253;2,412314;0,257503
2011-02-01;-6,947032;12,588638;-5,29717
2011-03-01;2,540786;11,187317;6,274946
2011-04-01;1,632309;-16,99933;-1,483739
2011-05-01;25,590091;23,010271;16,439671
2011-06-01;-0,142538;-12,755897;-2,414012
2011-07-01;-4,858741;-11,033675;-4,709414
2011-08-01;4,364941;0,350468;0,560792
2011-09-01;3,618966;8,785508;12,929698
2011-10-01;-2,650053;-3,357282;-1,927799
2011-11-01;-4,544855;6,178155;2,690136
2011-12-01;0,179555;1,672154;0,107614
2012-01-01;0,371898;8,828243;3,222578
2012-02-01;3,368576;-9,369723;1,246033
2012-03-01;2,017843;-1,284762;-0,508151
2012-04-01;-1,264774;-9,182161;-2,744867
2012-05-01;2,942206;-4,307902;-2,198474
2012-06-01;-0,740465;11,002976;-0,416565
2012-07-01;-4,474454;8,932225;1,507496
2012-08-01;-0,675154;3,055165;4,345056
2012-09-01;-6,047835;-7,429048;-2,47166
2012-10-01;5,54434;5,023039;-0,53478
2012-11-01;3,883507;-1,289502;0,288062
2012-12-01;-0,02607;-5,22053;-4,350381
2013-01-01;3,021486;-4,399897;0,047855
2013-02-01;-2,820031;0,551844;-0,13648
2013-03-01;-4,645865;-8,511492;-1,099942
2013-04-01;0,681089;5,093135;5,40033
2013-05-01;1,151305;8,463383;4,07454
2013-06-01;-9,311973;-2,116358;-3,11726
2013-07-01;4,845678;16,143435;9,773304
2013-08-01;1,292225;-5,892344;-2,1285
2013-09-01;-5,260811;-0,463241;-9,065871
2013-10-01;8,695522;12,584287;6,342318
2013-11-01;-1,466258;-0,272694;-2,359488
2013-12-01;-0,075905;-1,126915;-0,919616
2014-01-01;3,717786;0,478941;3,5685
2014-02-01;0,287592;2,276637;0,800312
2014-03-01;-3,201765;-4,803558;-3,743645
2014-04-01;1,760688;5,282074;0,285609
2014-05-01;-0,848223;-4,572643;-2,765195
2014-06-01;-3,184067;-3,368111;-2,173493
2014-07-01;4,85241;3,885843;3,234865
2014-08-01;-4,068035;-6,674044;-0,284855
2014-09-01;2,37105;5,486879;3,279182
2014-10-01;9,790057;4,893093;5,521114
2014-11-01;-8,982572;-4,045544;-4,303061
2014-12-01;4,684499;7,00174;-0,167984
2015-01-01;-2,872556;-5,942099;-1,196866
2015-02-01;-2,446653;-1,101077;-0,144187
2015-03-01;1,029647;-1,246771;1,232287
2015-04-01;-2,745543;-2,546704;0,193595
2015-05-01;-9,608934;-10,653365;-6,278355
2015-06-01;2,622506;7,401722;3,308702
2015-07-01;7,661293;-1,877572;2,820902
2015-08-01;1,173224;6,463098;-3,48128
2015-09-01;6,392903;1,392121;0,832444
2015-10-01;-4,487406;-6,612612;-3,601683
2015-11-01;-0,696116;-2,554528;3,526783
2015-12-01;-5,429788;2,835756;1,41814
2016-01-01;-1,058483;-3,508113;-6,257543
2016-02-01;4,400762;3,951122;2,033093
2016-03-01;1,693573;1,325263;-0,076359
2016-04-01;-0,435635;3,848076;-1,424444
2016-05-01;-1,352473;4,16514;2,496946
2016-06-01;-0,186262;-3,239212;0,116769
2016-07-01;-6,233723;-22,543417;-2,249636
2016-08-01;2,263857;7,325067;2,287435
2016-09-01;8,034264;-3,153077;0,333086
2016-10-01;-12,842098;-7,673673;-4,295552
2016-11-01;1,491485;2,975844;-1,06483
2016-12-01;0,847175;2,193362;2,514639
2017-01-01;-1,238363;5,076807;0,4223
2017-02-01;-3,813675;-2,413778;-2,807987
2017-03-01;-0,747837;6,522134;5,80213
2017-04-01;-12,801257;-5,418393;-9,793513
2017-05-01;6,773121;0,675422;5,112134
2017-06-01;3,331764;-2,429305;1,112321
2017-07-01;-9,067035;-6,622336;-4,20035
2017-08-01;5,7211;4,548057;-2,893275
2017-09-01;-0,100655;-2,822389;-0,486221
2017-10-01;-1,170265;2,400045;2,513812
2017-11-01;0,761158;12,86676;4,882813
2017-12-01;-4,390823;1,281199;1,043545
2018-01-01;-0,208576;5,916686;-2,861377
2018-02-01;1,236005;-0,539332;-0,676652
2018-03-01;1,93354;-4,933098;0,102071
2018-04-01;-0,672768;-4,199872;-1,547341
2018-05-01;-2,350174;0,951154;-1,324508
2018-06-01;1,622251;-3,150193;0,227716
2018-07-01;-1,21152;-1,302839;0,020742
2018-08-01;-2,193181;1,383029;6,195382
