;France;Spain;Greece
2015-10-31;0,99941;0,977118;-2,68503
2015-11-30;1,01369;0,958232;-1,664215
2015-12-31;1,0009;0,874594;2,845087
2016-01-31;1,003747;0,943219;1,918193
2016-02-29;1,006816;1,104752;5,694282
2016-03-31;0,998688;1,10393;-10,29031
2016-04-30;1,00929;0,919899;-0,744755
2016-05-31;0,994243;1,030485;5,217169
2016-06-30;0,999738;1,032763;5,14291
2016-07-31;1,002273;1,108697;-13,644295
2016-08-31;1,03658;1,177543;-0,108342
2016-09-30;0,999866;1,031959;13,307285
2016-10-31;1,008221;0,637534;-9,088361
2016-11-30;0,991422;0,967398;1,075852
2016-12-31;1,007574;0,96858;0,96512
2017-01-31;1,003524;0,751204;0,082528
2017-02-28;0,988;0,974605;-4,215781
2017-03-31;0,993805;1,006689;6,221354
2017-04-30;1,008848;1,061198;-7,020938
2017-05-31;1,021727;0,896309;7,071341
2017-06-30;1,009946;0,869639;4,480903
2017-07-31;1,003177;0,930021;-5,004038
2017-08-31;0,994308;1,075279;-1,516528
2017-09-30;1,009036;1,063159;-3,986739
2017-10-31;0,990695;1,17492;1,768608
2017-11-30;1,007536;1,067859;6,020012
2017-12-31;1,001852;0,957425;1,857502
2018-01-31;0,994945;0,987765;-2,946309
2018-02-28;0,994825;0,874247;-3,435766
2018-03-31;1,011133;0,247613;-0,20367
2018-04-30;1,002296;0,373398;-1,146384
2018-05-31;0,992978;0,570828;0,892105
2018-06-30;1,023984;0,724414;-4,353212
2018-07-31;1,000488;0,743634;2,112277
2018-08-31;0,997604;0,831604;14,319502
2018-09-30;1,001148;0,779339;-12,083382
2018-10-31;1,00421;0,942618;3,760208
2018-11-30;0,997085;0,865127;-3,901315
2018-12-31;1,001835;0,997612;1,242902
2019-01-31;1,001811;1,0596;2,629397
2019-02-28;1,013966;1,116727;0,111576
2019-03-31;1,023087;1,00599;-3,380398
2019-04-30;1,043949;0,997629;-3,180081
2019-05-31;0,881168;1,073104;7,543279
2019-06-30;0,965955;1,035577;-10,236352
2019-07-31;0,997897;0,935926;3,059928
2019-08-31;1,014006;0,734832;7,848469
2019-09-30;1,000344;0,90674;-5,709178
2019-10-31;1,007267;0,840255;6,143977
2019-11-30;1,005691;0,89932;-5,746802
2019-12-31;0,996431;1,139867;-2,652278
2020-01-31;0,997383;1,062463;2,500646
2020-02-29;1,00453;0,966688;7,869767
2020-03-31;0,995781;1,17558;-7,570035
2020-04-30;0,665095;0,94627;-38,268986
2020-05-31;0,585201;0,994747;-13,890124
2020-06-30;0,909553;0,946504;2,210772
2020-07-31;0,957227;1,12138;5,900901
2020-08-31;0,975688;1,040844;-0,710309
2020-09-30;0,993137;0,817628;3,357514
2020-10-31;0,990671;0,875814;-11,231754
2020-11-30;0,99158;1,081327;6,03125
2020-12-31;0,992782;0,999647;8,427377
2021-01-31;1,005884;1,009771;-15,723285
2021-02-28;0,992378;1,050949;0,976409
2021-03-31;0,997792;1,050015;11,725428
2021-04-30;0,994767;0,35622;1,44276
2021-05-31;1,001908;0,89756;-5,972644
2021-06-30;1,008119;0,960845;3,617669
2021-07-31;0,993545;0,961711;-6,103363
2021-08-31;0,996595;1,065081;6,629117
2021-09-30;0,991068;0,224695;-4,177515
