;Europe * Francé;Europe * Spain;Europe * Greecà
2006-11-30;0,989016;0,980825;-1,139587
2006-12-31;1,018448;1,05387;-37,799992
2007-01-31;0,995957;1,057622;-3,125343
2007-02-28;0,920081;0,96424;-1,512079
2007-03-31;1,01795;1,038213;16,661456
2007-04-30;0,986932;0,987956;9,227284
2007-05-31;1,022951;1,026227;-2,647841
2007-06-30;0,985716;0,9511;11,182269
2007-07-31;1,019459;1,004336;12,7991
2007-08-31;1,019562;1,014144;-27,735653
2007-09-30;0,993656;0,949846;13,683326
2007-10-31;1,030885;0,953857;11,789419
2007-11-30;0,988614;0,992703;-1,466578
2007-12-31;1,017952;1,052253;-38,981678
2008-01-31;0,99508;1,052843;-4,076843
2008-02-29;0,920031;0,960948;-1,170472
2008-03-31;1,017881;1,031123;15,922197
2008-04-30;0,987599;0,980595;9,951266
2008-05-31;1,022987;1,030002;-2,598516
2008-06-30;0,986188;0,95906;11,139757
2008-07-31;1,019923;1,01128;14,045428
2008-08-31;1,02029;1,016146;-26,495151
2008-09-30;0,993721;0,941289;13,609343
2008-10-31;1,030575;0,948624;11,801285
2008-11-30;0,988223;1,007436;-2,057313
2008-12-31;1,017315;1,054192;-39,431576
2009-01-31;0,99423;1,048666;-5,505104
2009-02-28;0,919787;0,958352;-1,293898
2009-03-31;1,01779;1,021265;15,825115
2009-04-30;0,988267;0,969723;9,867963
2009-05-31;1,023099;1,032199;-2,26037
2009-06-30;0,986562;0,96331;11,367489
2009-07-31;1,020266;1,014982;14,62462
2009-08-31;1,02098;1,018047;-25,626635
2009-09-30;0,993887;0,946384;13,65948
2009-10-31;1,030364;0,958549;10,921641
2009-11-30;0,988004;1,02024;-2,540554
2009-12-31;1,016721;1,051298;-38,89309
2010-01-31;0,993527;1,042769;-5,819514
2010-02-28;0,919403;0,954585;-1,63671
2010-03-31;1,01766;1,006973;16,055642
2010-04-30;0,988878;0,956583;9,76113
2010-05-31;1,02328;1,032697;-1,781676
2010-06-30;0,9868;0,967076;11,330585
