;;period;start;end;n;missing;log;adjust;ll;adjustedll;ssqerr;aic;bic;aicc;bicc;bic2;hannanquinn;nparams;nobs;neffectiveobs;df;p;d;q;bp;bd;bq;theta(1);;;theta(2);;;theta(3);;;phi(1);;;phi(2);;;phi(3);;;btheta(1);;;bphi(1);;;start;end;n;missing;mean;nlp;ntd;leaster;nmh;nout;nao;nls;ntc;nso;nusers;mu;;;lp;;;td(1);;;td(2);;;td(3);;;td(4);;;td(5);;;td(6);;;td-derived;;;td-ftest;easter;;;outlier(1);;;outlier(2);;;outlier(3);;;outlier(4);;;outlier(5);;;outlier(6);;;outlier(7);;;outlier(8);;;outlier(9);;;outlier(10);;;outlier(11);;;outlier(12);;;outlier(13);;;outlier(14);;;outlier(15);;;outlier(16);;;outlier(17);;;outlier(18);;;outlier(19);;;outlier(20);;;outlier(21);;;outlier(22);;;outlier(23);;;outlier(24);;;outlier(25);;;outlier(26);;;outlier(27);;;outlier(28);;;outlier(29);;;outlier(30);;;ser;type;mean;skewness;kurtosis;doornikhansen;lb;bp;lb2;bp2;seaslb;seasbp;nruns;lruns;nudruns;ludruns;mode;seasonal;icratio;trend-filter;seasonal-filters;d9-global-msr;seas-lin-combined;seas-lin-evolutive;seas-lin-stable;seas-si-combined;seas-si-combined3;seas-si-evolutive;seas-si-stable;seas-res-combined;seas-res-combined3;seas-res-evolutive;seas-res-stable;seas-sa-combined;seas-sa-combined3;seas-sa-evolutive;seas-sa-stable;seas-i-combined;seas-i-combined3;seas-i-evolutive;seas-i-stable;seas-lin-qs;seas-lin-f;seas-lin-friedman;seas-lin-kw;seas-lin-periodogram;seas-lin-spectralpeaks;seas-res-qs;seas-res-f;seas-res-friedman;seas-res-kw;seas-res-periodogram;seas-res-spectralpeaks;seas-sa-qs;seas-sa-f;seas-sa-friedman;seas-sa-kw;seas-sa-periodogram;seas-sa-spectralpeaks;seas-i-qs;seas-i-f;seas-i-friedman;seas-i-kw;seas-i-periodogram;seas-i-spectralpeaks;seas-sa-ac1;td-res-all;td-res-last;td-sa-all;td-sa-last;td-i-all;td-i-last;m1;m2;m3;m4;m5;m6;m7;m8;m9;m10;m11;q;q-m2;summary
RF2822;;12;1990-01-01;2021-09-01;381;0;1;LeapYear;390,271375223;-1299,540473528;2,527428768;2625,080947057;2675,886025253;2626,109195644;-4,788225571;-1,912330631;2645,265303531;13;381;368;355;0;1;1;0;1;1;-0,620207;-15,9509;0;;;;;;;;;;;;;;;;-0,684725;-15,5523;0;;;;1990-01-01;2021-09-01;381;0;0;0;6;0;0;4;1;1;2;0;0;;;;;;;monday;0,015261;1,7462;tuesday;-0,000019;-0,0022;wednesday;0,008397;0,9622;thursday;0,000001;0,0001;friday;0,017268;1,9765;saturday;-0,026285;-3,0554;td-derived;-0,014622;-1,6822;5,670186;;;;LS (12-2008);-0,391617;-6,4315;TC (12-2015);0,28069;4,1058;TC (3-2020);-0,422246;-5,5874;AO (4-2020);-0,577331;-7,3932;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;FullResiduals;0,047356;-0,0467;5,146435;49,315371;25,409664;24,689147;100,897959;97,715765;0,137294;0,132099;-1,250673;20,756983;-1,363334;11,865288;Multiplicative;1;3,659332582;23;S3X5;4,273859746;Present;0,682300006;0;Present;ProbablyNone;0,501672345;0;None;None;0,001244222;0,370046565;None;None;0;0,974171344;None;None;0,008607205;0,983974034;602,992208;78,095827;254,295285;287,434007;182,04996;aT.AT.AT.AT.AT.AT;0,137294;0,494665;4,112821;6,737598;1,116496;--.--.--.--.--.A-;0;0,225156;2,16129;1,587979;0,156693;--.--.--.--.--.--;0;0,193356;2,627792;1,159029;0,304775;-t.--.--.--.--.--;-0,459988604;0,091716;0,091716;0,04233;0,04233;0,035849;0,035849;0,601870659;0,268162761;1,329666291;0,740451201;1,247162219;0,109543898;0,188070225;0,572821505;0,20986446;0,736627983;0,699331597;0,57610897;0,614169737;Good
RF2823;;12;1990-01-01;2021-09-01;381;0;1;LeapYear;152,933527346;-1670,685110579;9,270119872;3375,370221158;3441,807631107;3377,118792586;-3,424413456;-0,55823273;3401,765148855;17;381;368;351;0;1;1;0;1;1;-0,695837;-15,3113;0;;;;;;;;;;;;;;;;-0,522852;-11,7594;0;;;;1990-01-01;2021-09-01;381;0;0;0;6;0;0;8;3;1;4;0;0;;;;;;;monday;0,023443;1,4316;tuesday;-0,013001;-0,802;wednesday;0,063071;3,9084;thursday;-0,028333;-1,75;friday;0,022693;1,3939;saturday;-0,031342;-1,9439;td-derived;-0,036531;-2,2543;7,699558;;;;LS (1-1991);0,499865;4,2761;AO (8-2008);-0,76142;-5,6109;TC (3-2009);-0,491765;-4,0541;AO (8-2009);-0,778651;-5,7299;AO (1-2011);-0,554775;-4,1923;TC (5-2011);-0,504104;-4,1481;TC (4-2020);-1,94875;-15,384;TC (6-2020);0,613945;4,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;FullResiduals;-0,246915;0,063808;3,485728;4,629968;25,148118;24,02364;18,531135;17,637685;0;0;-3,547735;113,027103;0,123939;1,084699;Multiplicative;1;2,950433481;13;S3X3;3,208379275;Present;0;0;Present;None;0;0;None;None;0,012136714;0,030821621;None;None;0,00001126;0,940352204;None;None;0,065945868;0,78190466;524,699016;1,816869;109,461538;146,386881;30,166823;--.AT.AT.AT.aT.AT;0;0,668108;14,923077;20,126888;1,806763;--.--.--.--.--.-t;0;0,145605;4,404467;4,55399;0,643414;--.--.--.--.--.--;0;0,195713;3,506203;2,493347;0,550257;--.--.--.--.--.--;-0,440398554;0,096411;0,096411;0,024507;0,024507;0,070595;0,070595;0,456045761;0,158429217;0,97521674;0,488382707;1,002874378;0,31664829;0,612997753;1,089610655;0,437132808;0,988586439;0,84112186;0,667044702;0,73786458;Good
RF2825;;12;1990-01-01;2021-09-01;381;0;1;None;495,422102608;-1172,377558156;1,423984455;2374,755116313;2433,376360385;2376,118752676;-5,329860017;-2,451692829;2398,044758398;15;381;368;353;3;1;1;0;1;1;-0,834016;-13,658;0;;;;;;;-0,121513;-1,4874;0,1378;0,012347;0,1786;0,8584;-0,071459;-1,0528;0,2931;-0,692106;-14,2893;0;;;;1990-01-01;2021-09-01;381;0;0;0;0;15;1;8;1;4;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Easter [15];-0,041006;-2,8364;LS (1-1993);-0,175823;-4,5683;LS (1-2008);0,210183;5,5725;LS (1-2009);-0,285727;-7,3068;TC (5-2009);-0,243658;-4,744;TC (1-2011);0,217595;4,3785;LS (5-2017);0,184844;4,8882;TC (3-2020);-0,480285;-8,7878;AO (4-2020);-0,348506;-5,7326;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;FullResiduals;-0,014219;0,091397;3,346701;2,910057;30,415462;29,096061;61,912662;59,538258;3,801842;3,657989;-3,168194;1030,529946;-2,974546;91,276368;Multiplicative;1;4,056152625;23;S3X5;4,67793788;Present;0,806234581;0;Present;ProbablyNone;0,825262193;0;None;None;0,00000011;0,648429436;None;None;0,000000001;0,813976782;None;None;0,000003989;0,891519107;601,931874;47,034957;291,665012;324,059576;218,263559;aT.AT.AT.AT.AT.AT;3,801842;0,555664;10,948718;10,447428;0,792956;--.--.--.--.--.--;0;0,301854;9,92804;4,863784;0,516127;--.--.--.--.--.--;0;0,431946;4,057072;1,61982;0,500475;--.--.--.--.--.--;-0,422701113;1,848518;1,848518;1,908724;1,908724;2,016285;2,016285;0,463605213;0,383181306;1,528076312;1,591182368;3;0,271175152;0,165381398;0,458383356;0,171764158;0,417184278;0,370995252;0,83113636;0,886501591;Good
RF2829;;12;1990-01-01;2021-09-01;381;0;1;None;435,688322602;-1201,722754193;1,962741874;2423,445508387;2462,526337768;2424,061754885;-5,089249368;-2,207325586;2438,971936444;10;381;368;358;3;1;1;0;1;1;-0,927415;-16,6966;0;;;;;;;-0,133677;-1,6936;0,0912;-0,123828;-1,719;0,0865;-0,18008;-2,6311;0,0089;-0,710326;-17,813;0;;;;1990-01-01;2021-09-01;381;0;0;0;0;15;1;3;0;2;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Easter [15];-0,044109;-2,5036;LS (8-2008);-0,215762;-5,2049;LS (8-2019);0,20239;4,5587;TC (3-2020);-0,352069;-5,7585;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;FullResiduals;0,450915;-0,187865;3,808758;10,433982;39,081923;37,184813;52,550034;51,133612;1,268361;1,220369;-3,757927;45,780836;-0,619697;2,396309;Multiplicative;1;3,349716758;13;S3X5;4,467931325;Present;0,481962118;0;Present;None;0,43643626;0;None;None;0,000085373;0,168846444;None;None;0;0,999017767;None;None;0,004685095;0,999560104;556,540448;16,649879;272,300248;302,685595;120,363106;-T.AT.AT.AT.AT.--;1,268361;0,720719;10,851282;13,747227;1,382566;--.--.--.--.a-.--;0;0,25079;3,466501;2,028764;0,116601;--.--.--.--.--.--;0;0,389316;2,300248;0,694705;0,114989;--.--.--.--.--.--;-0,467695982;3,961325;3,961325;5,509896;5,509896;6,841697;6,841697;0,596784593;0,466850582;1,174858379;0,204805651;1,584156866;0,18717253;0,226436261;0,474757526;0,179829403;0,559816427;0,515104066;0,567453253;0,579887291;Severe
RF2830;;12;1990-01-01;2021-09-01;381;0;0;None;-1439,296353062;-1439,296353062;52390,88701016;2908,592706124;2967,213950197;2909,956342488;5,18316903;8,063081386;2931,88234821;15;381;368;353;1;1;1;0;1;1;-0,771025;-13,8292;0;;;;;;;-0,338522;-4,0711;0,0001;;;;;;;-0,728439;-16,7686;0;;;;1990-01-01;2021-09-01;381;0;0;1;6;1;1;3;1;1;1;0;0;;;;Leap year;6,307571;1,6697;monday;1,113184;0,9432;tuesday;1,541908;1,3155;wednesday;1,11984;0,9586;thursday;0,016904;0,0143;friday;1,416757;1,195;saturday;-3,494665;-3,0046;td-derived;-1,713928;-1,4475;7,626793;Easter [1];-5,499123;-2,3397;LS (3-2009);-63,663056;-6,7407;AO (8-2009);42,931017;4,3415;TC (3-2020);-58,209069;-5,1909;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;FullResiduals;0,962978;0,149801;3,135334;1,752526;18,884143;18,040674;31,265515;30,342818;1,497517;1,440854;-1,146261;29,008911;0,991515;2,167905;Additive;1;2,903529674;13;S3X5;4,56307689;Present;0,000000694;0;Present;ProbablyNone;0,00009329;0;None;None;0,004839374;0,422040305;None;None;0,000000007;0,987260934;None;None;0,000197679;0,956557208;586,241776;70,837682;260,394541;291,447205;193,43111;AT.AT.AT.AT.AT.AT;1,497517;1,463932;15,061538;10,687812;1,084066;--.--.--.--.--.A-;0;0,201756;1,029777;1,890164;0,222962;--.--.--.--.--.--;0;0,259703;1,610422;1,399748;0,318347;--.--.--.--.--.--;-0,271908697;0,072054;0,072054;0,070561;0,070561;0,120155;0,120155;0,345298242;0,28753829;0,951764837;0,409611303;0,908230231;0,225230756;0,179518414;0,419492209;0,143910712;0,489408937;0,477896097;0,426976545;0,444210487;Good
RF2841;;12;1990-01-01;2021-09-01;381;0;0;None;-1533,599016881;-1533,599016881;85431,599539735;3081,198033762;3108,55461433;3081,509144874;5,54371583;8,447159278;3092,066533402;7;381;368;361;0;1;1;0;1;1;-0,686425;-18,7471;0;;;;;;;;;;;;;;;;-0,876738;-25,8939;0;;;;1990-01-01;2021-09-01;381;0;0;0;0;15;1;3;1;1;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Easter [15];-8,507437;-2,2151;TC (4-2008);56,17372;4,3287;AO (12-2010);61,660084;4,5018;LS (2-2020);-45,185728;-4,0694;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;FullResiduals;1,614728;0,333544;3,72175;9,95241;14,371079;13,759935;15,950996;15,160819;0,358912;0,345331;0,360021;33,318738;1,735152;6,593431;Additive;1;4,319084749;23;S3X9;6,335191181;Present;0,10633735;0;Present;ProbablyNone;0,080546626;0;None;None;0,214640809;0,065549189;None;None;0,086570512;0,824463397;None;None;0,0353868;0,858554068;220,12294;11,067849;188,791563;213,526639;38,979545;-T.AT.AT.AT.AT.-t;0,358912;1,03622;23,015385;21,157647;1,615964;--.--.--.--.a-.--;0;0,498228;4,523573;3,497605;0,326225;--.--.--.--.--.--;0;0,590732;3,109181;1,770932;0,478193;--.--.--.--.--.--;-0,515090253;1,031345;1,031345;0,809593;0,809593;0,957863;0,957863;3;1,216531409;1,659542375;0,063017123;1,845530891;0,934076472;0,386478002;0,602525751;0,234088824;0,494317851;0,473463369;1,082958633;1,064359892;Uncertain
RF2891;;12;1990-01-01;2021-09-01;381;0;1;None;-100,785463053;-2019,825818468;36,640191928;4077,651636937;4151,956773173;4079,829287367;-2,021319322;0,850612635;4107,169300431;19;381;369;350;1;0;2;0;1;1;0,241156;1,2371;0,2169;0,158759;1,7512;0,0808;;;;-0,187333;-0,9462;0,3447;;;;;;;-0,643891;-15,8618;0;;;;1990-01-01;2021-09-01;381;0;0;0;0;0;0;14;7;5;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LS (1-1992);0,630783;4,8806;LS (1-2001);-0,533211;-4,2346;AO (4-2001);-1,235428;-4,59;TC (7-2002);2,061446;7,0685;TC (7-2003);1,095234;3,706;AO (2-2004);-1,139321;-4,2373;AO (7-2004);-1,15328;-4,0338;LS (8-2004);0,722112;5,4339;AO (9-2004);-1,064449;-3,9521;AO (12-2008);1,035096;3,857;AO (4-2009);1,010781;3,7533;LS (4-2010);-0,425742;-3,5153;AO (7-2013);-0,971903;-3,6237;LS (8-2014);-0,716154;-5,9573;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;FullResiduals;-0,031514;-0,054733;3,445345;4,033936;31,019017;29,458351;29,275002;28,123959;0,011225;0,010802;-1,508481;37,110971;0,412568;1,719624;Multiplicative;1;2,753147881;13;S3X5;3,693712754;Present;0,000000001;0;Present;None;0,000000001;0;None;None;0,020373227;0,21647873;None;None;0,001551548;0,794530521;None;None;0,330150823;0,653204988;349,336625;4,042723;135,694789;179,007447;26,303267;at.AT.-T.AT.--.aT;0,011225;0,601118;14,215385;13,928653;1,367733;--.-t.--.--.--.--;0;0,386503;9,411911;7,384513;0,937146;--.--.--.--.--.--;0;0,486476;3,734491;2,695847;0,718369;--.--.--.--.--.--;-0,33994525;1,205523;1,205523;1,337168;1,337168;1,478419;1,478419;0,704212875;1,120135675;0,876573941;0,551399831;1,009868877;0,122514898;0,606340187;0,756229782;0,379417496;0,70075126;0,678097654;0,692533158;0,639683409;Severe
RF2892;;12;1990-01-01;2021-09-01;381;0;1;LeapYear;271,545615681;-1739,030404445;4,70729029;3506,060808891;3560,773970025;3507,250610591;-4,150261054;-1,251027365;3527,797808171;14;381;368;354;0;1;1;0;1;1;-0,379987;-7,9303;0;;;;;;;;;;;;;;;;-0,864584;-23,7097;0;;;;1990-01-01;2021-09-01;381;0;0;0;6;0;0;5;4;0;1;0;0;;;;;;;monday;-0,006237;-0,5445;tuesday;0,03545;3,081;wednesday;-0,027911;-2,4254;thursday;0,007107;0,6174;friday;0,023251;2,0162;saturday;-0,020874;-1,8403;td-derived;-0,010786;-0,9419;3,495781;;;;AO (1-2010);-0,47704;-5,1071;AO (12-2019);-0,446778;-4,6473;TC (3-2020);-0,532582;-4,8663;AO (4-2020);-0,438908;-4,4638;AO (9-2021);0,499345;4,2924;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;FullResiduals;0,680931;0,012861;4,168184;18,9398;26,371878;24,969683;76,246132;73,420338;1,699989;1,635665;-0,267883;14,459918;0;5,45014;Multiplicative;1;2,187076848;13;S3X5;4,718172322;Present;0,001643818;0;Present;ProbablyNone;0,016381259;0;None;None;0,000094758;0,397146414;None;None;0;0,534856443;None;None;0,011728748;0,190093072;418,727412;28,972396;189,009926;213,722958;94,230827;at.AT.AT.AT.AT.AT;1,699989;0,155784;16,758974;14,027594;1,053208;--.a-.--.--.--.--;0;0,496771;5,764268;4,917824;0,891878;--.--.--.--.--.--;0,010733;0,756852;3,129032;2,530606;1,39179;--.--.--.--.--.--;-0,358835569;0,05553;0,05553;0,024706;0,024706;0,023124;0,023124;0,888581252;0,143208787;0,593538424;0,031508562;0,6920012;0,287268929;0,294118185;0,762637231;0,143876352;0,667423001;0,581942433;0,437704485;0,47410283;Good
RF2893;;12;1990-01-01;2021-09-01;381;0;1;LeapYear;383,581744299;-1296,547859173;2,604760675;2617,095718346;2663,992713604;2617,974591585;-4,774141833;-1,892028515;2635,727432014;12;381;368;356;0;1;1;1;1;1;-0,704555;-16,9595;0;;;;;;;;;;;;;;;;-0,841897;-19,0908;0;-0,262495;-3,7152;0,0002;1990-01-01;2021-09-01;381;0;0;0;6;0;0;2;0;0;2;0;0;;;;;;;monday;0,015529;1,784;tuesday;0,006808;0,7833;wednesday;0,013965;1,5996;thursday;-0,011129;-1,2725;friday;0,007813;0,8942;saturday;-0,005831;-0,6759;td-derived;-0,027155;-3,123;4,229638;;;;TC (3-2020);-0,324606;-4,282;TC (4-2020);-0,325434;-4,2899;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;FullResiduals;0,311022;-0,229462;3,322843;4,215435;27,776658;26,70975;89,76322;87,281625;1,316817;1,224284;-1,770157;351,757357;-1,239394;7,507927;Multiplicative;1;3,846869039;23;S3X5;4,423139894;Present;0,130751157;0;Present;Present;0,195026577;0;None;None;0,000000423;0,443611486;None;None;0;0,959269861;None;None;0,000014548;0,911158163;553,351995;43,769168;238,950372;272,497908;127,562957;AT.AT.AT.AT.AT.a-;1,316817;0,575352;7;8,97473;1,066978;--.a-.--.--.--.--;0,105648;0,638582;4,806452;3,701082;0,545814;--.--.--.--.--.--;0;0,658656;2,875931;1,418982;0,459118;--.--.--.--.--.--;-0,426142067;0,046448;0,046448;0,041687;0,041687;0,037913;0,037913;0,654317706;0,498790493;1,423434519;0,315085617;1,828284359;0,169255957;0,213420997;0,643528395;0,170998343;0,567084397;0,45904948;0,642363908;0,660108936;Good
RF2894;;12;1990-01-01;2021-09-01;381;0;1;LeapYear;192,72160343;-1454,235451797;7,296276437;2930,470903594;2973,459815914;2931,212476628;-3,760173065;-0,870799713;2947,549974457;11;381;368;357;0;1;1;0;1;1;-0,481346;-10,509;0;;;;;;;;;;;;;;;;-0,809467;-19,2134;0;;;;1990-01-01;2021-09-01;381;0;0;0;6;0;0;2;0;0;2;0;0;;;;;;;monday;0,017;1,1676;tuesday;0,011454;0,791;wednesday;0,012806;0,8805;thursday;-0,020542;-1,4062;friday;0,015025;1,0333;saturday;0,001832;0,1275;td-derived;-0,037575;-2,5882;2,431147;;;;TC (1-2009);-0,539429;-4,3223;TC (3-2020);-0,860812;-6,6931;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;FullResiduals;0,781208;0,082136;3,712252;8,500477;28,974342;27,729927;100,541053;97,481849;0,225096;0,209279;-2,288796;59,459071;-1,611213;34,756677;Multiplicative;1;2,663008913;13;S3X5;5,28033023;Present;0,439303224;0;Present;ProbablyNone;0,565458332;0;None;None;0,000000001;0,911763706;None;None;0,000000186;0,993731434;None;None;0,000005621;0,994843669;530,591861;26,882701;214,51861;240,485029;145,45099;-t.AT.AT.AT.AT.AT;0,225096;0,82811;4,358974;6,558723;0,453666;--.At.--.--.at.--;0;0,145753;3,228288;2,317335;0,215207;--.--.--.--.--.--;0;0,204875;1,084367;0,752377;0,217606;--.--.--.--.--.--;-0,368992967;0,103724;0,103724;0,035057;0,035057;0,054662;0,054662;0,991328477;0,384603343;0,831504456;0,36234846;0,674017538;0,512132092;0,234279514;0,695925434;0,139451233;1,095866262;1,074083214;0,566377335;0,588843783;Good
RF2895;;12;1990-01-01;2021-09-01;381;0;1;None;27,576071933;-1689,302512852;17,438929495;3394,605025703;3425,869689208;3395,006139909;-2,936995891;-0,021433371;3407,026168149;8;381;368;360;0;1;1;0;1;1;-0,845289;-25,1026;0;;;;;;;;;;;;;;;;-0,910551;-18,5434;0;;;;1990-01-01;2021-09-01;381;0;0;0;0;0;0;5;2;1;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AO (7-2008);-0,874226;-4,194;LS (1-2009);-0,577641;-4,9353;TC (1-2015);-1,02139;-5,6615;TC (3-2015);0,734996;4,0787;AO (1-2017);-0,995769;-4,7717;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;FullResiduals;1,020266;0,032804;3,183381;1,08445;24,839871;23,917412;115,975895;112,020536;0,639524;0,610197;-3,388675;978,981015;-4,213941;694,734532;Multiplicative;1;4,278709109;23;S3X5;5,544342545;Present;0,013035604;0;Present;None;0,004829401;0;None;None;0,000000001;0,959904624;None;None;0,000000007;0,566838444;None;None;0,000006658;0,705118139;207,262795;7,511065;140,801489;145,133328;33,405906;-t.AT.AT.AT.at.AT;0,639524;0,523163;3,210256;3,976332;0,394217;--.A-.--.--.--.--;0;0,511015;10,970223;2,460547;0,338904;--.--.--.--.--.--;0;0,89396;3,665012;2,00547;0,583126;--.--.--.--.--.--;-0,541532686;0,260252;0,260252;0,466506;0,466506;0,557738;0,557738;2,148409202;2,770060433;1,639354554;1,307605313;3;0,617737018;0,39080246;0,896229988;0,082422683;0,880054118;0,65441819;1,380094172;1,208300589;Good
RF2896;;12;1990-01-01;2021-09-01;381;0;1;None;3,43046379;-1591,363245655;20,474987504;3226,72649131;3312,704315949;3229,659824643;-2,551732882;0,334556785;3260,884633035;22;381;368;346;0;1;1;0;1;1;-0,882016;-30,0706;0;;;;;;;;;;;;;;;;-0,752839;-20,8893;0;;;;1990-01-01;2021-09-01;381;0;0;0;0;0;0;19;7;5;7;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TC (4-1995);0,724363;4,1155;TC (4-1998);0,83781;4,7707;AO (5-2004);-1,112206;-5,0387;AO (8-2004);-1,542919;-6,9804;TC (12-2004);-0,693941;-3,9409;LS (2-2008);-0,477898;-4,2633;AO (10-2008);-1,069484;-4,7653;LS (4-2009);-0,492513;-3,8365;LS (9-2009);0,881044;6,9009;TC (11-2010);-0,689809;-3,9176;AO (8-2011);0,833009;3,7702;TC (5-2012);-0,835208;-4,7281;AO (1-2013);-1,116072;-5,0336;LS (12-2013);-0,669706;-5,434;LS (6-2014);1,072069;8,5396;TC (2-2015);-0,741711;-4,1005;TC (9-2016);-0,66834;-3,7454;AO (12-2016);0,883672;3,9324;AO (7-2019);-0,827103;-3,683;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;FullResiduals;0,290871;-0,151103;3,511454;5,365942;38,465884;36,674167;85,761856;81,906113;0;0;-2,806681;261,235021;-2,974546;673,367693;Multiplicative;1;5,367003602;23;S3X5;5,445362779;Present;0,883808033;0;Present;None;0,923563781;0;None;None;0,000002075;0,467268776;None;None;0,000000153;0,535277268;None;None;0,000092431;0,623888141;110,169144;4,054588;95,74938;108,407679;12,991828;At.-T.-t.-t.AT.-t;0;0,760548;10,728205;10,609947;0,979545;--.--.--.--.--.--;0;0,441175;4,498759;3,320495;0,456956;--.--.--.--.--.--;0;0,520874;4,702233;2,315359;0,776572;-t.--.--.--.--.--;-0,504450189;2,433155;2,433155;2,379845;2,379845;2,585403;2,585403;2,083923856;3;2,183501801;0,645925516;3;0,578145112;0,548146958;1,030946856;0,374372567;0,999081965;0,87264522;1,468139018;1,278807885;Severe
RF2899;;12;1990-01-01;2021-09-01;381;0;1;None;364,106741069;-1411,534135907;2,918221427;2843,068271815;2882,149101196;2843,684518313;-4,692617449;-1,818295252;2858,594699872;10;381;368;358;0;1;2;0;1;1;-0,605059;-11,2041;0;-0,151983;-2,8889;0,0041;;;;;;;;;;;;;-0,652603;-13,9929;0;;;;1990-01-01;2021-09-01;381;0;0;0;0;0;0;6;0;1;5;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TC (7-1993);-0,266274;-3,6568;TC (10-2004);-0,254206;-3,5103;LS (1-2009);-0,299336;-5,2165;TC (7-2012);0,299792;4,1379;TC (8-2014);-0,456969;-6,3061;TC (3-2020);-0,414714;-5,5449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;FullResiduals;0,420156;-0,14453;3,115895;1,590107;31,68736;30,34029;28,943748;28,037143;1,201052;1,155607;-1,981556;18,344933;1,363334;3,241913;Multiplicative;1;3,459329936;13;S3X5;4,184806694;Present;0,332920549;0;Present;ProbablyNone;0,850442551;0;None;None;0,003267285;0,341454674;None;None;0,000048764;0,978272644;None;None;0,093046962;0,971829776;445,409065;24,806184;211,739454;235,096423;47,771279;AT.AT.AT.AT.aT.AT;1,201052;1,285527;9,158974;9,880664;0,989671;--.--.--.--.--.--;0;0,473404;9,650124;5,8769;0,472729;--.--.--.--.--.--;0;0,737705;2,126551;2,273964;0,546457;--.--.--.--.--.--;-0,341300432;2,689686;2,689686;2,105364;2,105364;2,480901;2,480901;1,169879488;0,452991427;1,229664968;0,504136988;1,728050969;0,073922678;0,302942505;0,783880926;0,309327102;0,662200721;0,631452574;0,710392681;0,742206319;Severe
